Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2010 [YR2010],2011 [YR2011]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,-8.0744474323113,3.18595865407703,2.54766483842627
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,-2.87331382849631,1.94943762312663,2.19270063266654
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,French Polynesia,PYF,-4.23139183069446,-2.4660641898174,-2.96195745427229
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gabon,GAB,0.130331119816617,7.08988731455126,7.09175334258654
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Gambia, The",GMB,6.6657243078367,5.90833580968288,-8.13044422315659
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,-3.65051363069394,6.23231018305886,7.36066161833176
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,-5.69383633640285,4.17988249873657,3.92519270463411
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,4.84448705175076,7.89971194051621,14.0471235803149
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gibraltar,GIB,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,-4.30073348668201,-5.47780804926842,-10.1493148298685
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greenland,GRL,0.865952328886948,1.73582505889665,-0.496519391959083
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Grenada,GRD,-6.61328134799545,-0.511146187173722,0.764773550338731
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guam,GUM,0.438683948155543,2.26325193567601,0.0776548243059523
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,0.476898106596394,2.88417542800377,4.16390688293349
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea,GIN,-1.12264204848687,4.81336016860719,5.61211177615068
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea-Bissau,GNB,3.36897495773184,4.61097090010318,8.08477973398716
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guyana,GUY,3.61150847218585,4.13844160137342,5.19625156051602
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,5.89037894844316,-5.65151153448299,5.09821354410036
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,-2.43162787988011,3.73114034433009,3.83569066207505
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Hong Kong SAR, China",HKG,-2.45905568784876,6.76769054741861,4.81473243766588
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hungary,HUN,-6.59786721850169,1.0762540427767,1.86683747544298
